Fri Aug 04 21:47:13 +0000 2017,Essen und #feierabendbier im #planb #bielefeld #liebefeld #beer #bier #bielefeld #leineweber… https://www.instagram.com/p/BXYzKaPAu6A/
Fri Aug 04 17:48:31 +0000 2017,"Schnell noch Bier holen. Ich vergess immer, dass hier alles um achte zu macht! (at @tegut in Würzburg, Bayern) https://www.swarmapp.com/c/lstIpAMuJJS"
Fri Aug 04 13:42:32 +0000 2017,Unf Frankfurt...mit Bier!!!! @Steigenberger Airport Hotel Frankfurt https://www.instagram.com/p/BXX7stNF70B/
Thu Aug 03 18:14:56 +0000 2017,Geisteszustand: Bier! 
Thu Aug 03 17:27:37 +0000 2017,Nette Aussicht bei @Grandcentrix in Köln. #webperf #meetup #Newrelic #bier #pizza @grandcentrix https://www.instagram.com/p/BXVwlxIDWZx/
Thu Aug 03 16:44:36 +0000 2017,Endlich wieder Bier in meiner Größe @Würzburger Residenz https://www.instagram.com/p/BXVrtA_D9eh/
Thu Aug 03 16:34:40 +0000 2017,Heute mal kein Bier. Denn es ist #Weinfest in #Duisburg. @Weinfest Duisburg https://www.instagram.com/p/BXVqmZIjsj9/
Thu Aug 03 15:41:26 +0000 2017,"""Zum Frühstück gibt's bei mir 'ne Kippe mit Bier Wir sind asoziale Zecken, nicht so 'ne Spießer… https://www.instagram.com/p/BXVkgSBlVhA/"
Thu Aug 03 14:33:12 +0000 2017,#beerpairing Schoko und Bier @Liebesbier https://www.instagram.com/p/BXVcs0MhC_I/
Wed Aug 02 18:17:52 +0000 2017,Hmm. Ich hab' immer Strom und Internet in unserem Zelt ... Und kaltes Bier :-) #Trigano #Urlaub
Wed Aug 02 17:55:30 +0000 2017,"Hart gespannt auf #rülps bin auf die Teams gespannt, wird ein guter Abend Bier , Chips stehen bereit #rbtv"
Wed Aug 02 15:27:21 +0000 2017,Drinking a Keller Bier by St. Georgen Bru Buttenheim @Löwenbräu Keller — http://untp.beer/s/c485827483
Wed Aug 02 14:35:41 +0000 2017,Feuchter Ulli #Essen #Feuchter #Ulli #Shots #Bier #Sekt #Ladys #Kostenlos #Vodka #Energy
Tue Aug 01 07:42:41 +0000 2017,Meine Bibliothek #beer #bier #beerlover #taste #coldbeer #beerstore @Königstraße https://www.instagram.com/p/BXPkIHaFWXr/
