,0
796,"Auch eine leichte und sehr angenehme Hopfennote kommt hervor , welche butterweich und lange auf der Zunge liegt ."
797,"Schönes solides Helles , ohne Ecken und Kanten ."
798,Nicht zu süß und sehr süffig !
799,Sehr sûffig kalt am besten .
800,Endlich auch in Berlin bayerisch geniessen .
801,"Dieses Bier ist einfach rund , Dia rundliche Halbliterflasche gibt einen malzig runden Hopfentrunk zum Besten ."
802,Es sollte gut gekühlt getrunken werden .
803,"Für ein "" Helles "" recht kräftig und ein gutes Gefühl ."
804,Ein solides Arbeitsbier .
805,"Ein Klassiker , oft getrunken , aber noch nicht bewertet ."
806,Ganzer Hopfen ist eingebraut .
807,Der Geruch ist getreidig-frisch .
808,"Im Glas hat das Bier eine grobporige Blume , die schnell in sich zusammenfällt ."
809,"Antrunk ist zunächst stark karbonisiert , dann geprägt von malzig-süßem Geschmack ."
810,Sehr süffig .
811,Der Mittelteil ist getreidig-würzig .
812,Beim Abgang kommt eine leichte Hopfenherbe hinzu .
813,Eins muss man den Bayern lassen : Im Brauen von Lagerbieren macht denen keiner was nach .
814,Der Bierstil Helles ist nicht ohne Grund das Standardbier dort und gilt als flüssiges Brot .
815,Das Augustiner Lagerbier Hell ist aus meiner Sicht das beste Helle aus den Münchner Brauereien .
816,Läuft lecker runter .
817,Vom ganzen Münchner Bier mein Favorit .
818,Es sieht gut aus im Glas .
819,"Hellgelb , schöne Blume , die recht lange hält ."
820,In der Nase eher zurückhaltend .
821,Der Trunk ist lecker würzig und mit sogar einer leichten Hopfennote versehen Spundung und Karbonisierung beispielhaft .
822,"Das Bier hat absolut nix besonderes , das hervorzuheben wäre , und darin liegt hier das große Plus ."
823,Genauso fällt es nämlich nirgends ab .
824,Ein erfrischendes Helles zu jeder Jahreszeit und Gelegenheit .
825,Komplex und lecker .
826,So soll ein Helles seit Ewigkeiten schmecken und Prost .
827,"Der Klassiker aus München , das Aushängeschild des Bayerischen Bieres , das schönste Bier der Welt ."
828,"Die einzige der traditionsreichen Münchner Brauereien , die sich nicht dem Geldsegen der globalen Brauereikonzerne angeschlossen hat ."
829,Funktioniert nach wie vor ohne Werbung ( ! ) nur per wahrer Mundpropaganda und ist inzwischen deutschlandweit zu haben .
830,"Gebraut mit besten Zutaten ( natürlich : echter Hopfen , kein Extrakt ) ."
831,"Besitzt die wunderbare Mischung aus milder , süffiger Süße und immer wieder neu faszinierender zarter Würze , die dieses Helle auch Anhängern von charakterschweren Bieren ihre Aufwartung macht ."
832,Was will man mehr ?
833,"Ich , außer Abwechslung ab und an : nichts !"
834,"Das Helle Lagerbier von Augustiner wird ja oft als eines der Besten aus München bezeichnet , dann werde ich es heute auch einmal bewerten ."
835,Im Glas hat es eine hellgelbe Farbe ist klar mit wenig Kohlensäure .
836,Der grobporige Schaum baut sich hoch auf und hält sehr lang .
837,Es riecht nach Getreide .
838,"Im Antrunk eher leicht bekommt man im Mund noch ein wenig Malz dazu es ist aber immer noch flach im Geschmack , wobei der Körper doch vollmundig wirkt ."
839,Ich finde den Abgang etwas rauchig und eine geringe Menge Hopfen ist erkennbar .
840,"Alles in allem war ich doch ein wenig enttäuscht , es ist wirklich nicht viel mehr als Durchschnitt daher gebe ich dem Bier 6 Öffner ."
841,"Das Gebinde ist eine 0,5 l Euro Flasche mit dem altbekannten Etikett ."
842,Image leider besser als der Geschmacks ...
843,bestes Münchener Bier
844,kann man gut trinken
845,"Sehr süffiges Helles , läuft einfach gut runter , mehr muss es nicht können ."
846,Wer Pils oder Export will soll eben diese trinken .
847,Dieses nichtssagende Helles ist wohl der Beweis dafür daß das Image eines Bieres mit der Qualität nicht unbedingt konform gehen muß .
848,Klassiker .
849,Sehr angesagtes Bier .
850,Schmeckt wohl der Masse .
851,Mir nicht .
852,"2. Verkostung : Heute gefällt es mir besser , als zuletzt ."
853,"Wesentlich ausgewogener , süffiger , ohne Ecken und Kanten ."
854,"Für mich ein sehr gutes Helles , dem nur etwas Spannung fehlt , um mich zu begeistern ."
855,"7 Öffner 1. Verkostung : Die "" grossen "" Erwartungen wurden bei meinem ersten Zusammentreffen nun überhaupt nicht erfüllt ."
856,"Einerseits geht die Stilistik auch etwas Richtung Pils , eine unaufregende Leichtigkeit , etwas wässrig und dann im Abgang eine nicht mehr zu erwartendes Bitterle , das die Langeweile stört aber nicht unbedingt im positiven Sinne ."
857,"Mal sehen , ob es einen Zweitkontakt geben wird und ob dann der bisherige Eindruck als überholt gelten kann ."
858,6 Öffner
859,Weltklasse
860,Aus der ältesten Brauerei Deutschlands gibt´s heute das Augustiner Lagerbier Hell .
861,Schon oft getrunken jedoch noch nicht bewertet .
862,Es hat eigentlich alles was ein süffiges bayerisches Helles haben muss .
863,"Malziger Antrunk , würziger Mittelteil und ein milder Abgang ."
864,Gutes Bier und das beste aus der Landeshauptstadt .
865,#Lieblingsalkoholgetränk
866,"Ein sehr süffiges , wohlschmeckendes Lagerbier aus München ."
867,"Mild im Antrunk , schöne Farbe und es schmeckt auch noch nach mehreren Bieren ."
868,Oberbayerisches Allerweltsbier ... geht so .
869,Vor mir steht eine braune Standard Bierflasche mit einem ansprechenden Etikett : Der Mönch - drumherum Medaillen und Hopfen - dazu Augustinerbräu München in Fraktur - sieht gut aus !!!
870,"Ins Glas läuft es hell goldgelb , der Schaum ist sehr schnell wieder verschwunden ."
871,"Der Geschmack ist schön malzig - nicht wie bei Malzbier , sondern eher so wie es riecht wenn man an einer Brauerei vorbeifährt - im Nachgang wird es etwas säuerlich ."
872,Hopfenbitter schmecke ich fast gar nicht .
873,Ein sehr leckeres und süffiges Bier - läuft echt gut rein - 8 Öffner
874,"Eine münchner Perle , die man gerne verzehrt ."
875,Würde wieder verzehren .
876,Das war früher ein Standard Trinkbier bevor es deutlich milder würde und spürbar weniger herb .
877,Das ist einfach das beste Bier der Welt .
878,Besonders schön finde ich die hellblauen Bierkästen mit dem schönen alten Schriftzug .
879,Das war mein erstes Bier überhaupt und es gibt 100 % schlechters um das Biertrinken zu beginnen .
880,"Was es aber nach wie vor hat , wenn es zu lange steht wird es lag und deswegen schnell trinken ."
881,"Ich bin aber mehr ein Genisser und ich hab nun doch schon das ein oder andere mehr kennen gelernt , es ist sehr gut aber gibt besseres ."
882,"Aber wenn ich daran denke , der Bier absatz sinkt und die Jugend von heut trinken immer weniger Bier , muss man sich vielleicht auch fragen warum ."
883,Durch Werbung wird doch nur noch schrott Bier vermarktet und Beck´s z. b. ist bestimmt kein gutes Bier um Leute auf den Biergeschmack zu bringen .
884,"Lustig finde ich es ja , das die richtig guten Biere wie auch Augustiner ohne Werbung aus kommen ."
885,"Aber vielleicht sollte auch Beck´s sich mal dazu besinnen , GUTES Bier zu brauen , wenn sie in 10Jahren auch noch Bier verkaufen wollen ."
886,Weil die beste Werbung für gutes Bier ist der gute Geschmack .
887,Gute Alte Gustel
888,Der Klassiker - seit meiner frühesten Jugend schon tausende Male getrunken .
889,Im Glas hellgelb und kaum Schaum .
890,"Geruch ist leicht getreidig , hopfig und malzig ."
891,"Der Antrunk ist vollmundig , sehr spritzig und leicht hopfig , der Körper sehr süffig und der Abgang ist leicht gerstenmalzig und hopfig-herb ."
892,"Immer wieder ein Vergnügen dieses sehr süffige , helle Bier zu verköstigen ."
893,Mein absoluter Favorit !
894,"Ausgewogen , frisch und vollmundig , für ein helles Lagerbier sehr gehaltvoll , nicht zu süß und nicht zu herb mit ganz eigenem Charakter ."
895,Referenz !
896,Ich versteh den Hype über dieses gewöhliche Bier überhaupt nicht .
897,Da gibt es bei weitem besseres
898,Eine schöne goldgelbe Farbe und ausreichend feinporiger Schaum verhelfen diesem Münchner Klassiker zu einer einladenden und verständlicherweise absatzfördernden Optik .
899,"Der Einstieg , welcher ausgesprochen malzig mit hopfig-blumigen Anklängen daherkommt , vermeldet ein hohes Maß an Rezenz ."
900,"Die einkalkulierte Süße entwickelt sich erst allmählich im Körper , wo auch eine blumige Fruchtigkeit einzug hält ."
901,"Der Säuregehalt ist angenehm gering , so dass eher reifer , saftiger Apfel herauszuschmecken ist ."
902,Der angemessene Kohlensäureanteil und das feine Malz sorgen für ein passendes Maß an Frische und Lebendigkeit .
903,"Im Abgang setzt eine wohldosierte , feine Würzigkeit ein , welche durch die Vermengung von getreidigem Malz und grasig-blumigem Hopfen erzielt wird ."
904,Eine feine Hopfennote setzt den gelungenen Schlusspunkt .
905,"Sehr harmonisch und rund , und trotzdem nicht langweilig !"
906,Augustiner macht NULL Werbung und drückt über eine Million Hektoliter mit einem ganz schmalen Portfolio raus .
907,Sensationell .
908,Der pure Wahnsinn !!
909,"Jetzt kommt also die Nummer 2 hier auf Bierbasis.de , von über 17000 getesten Bieren ."
910,Schon vorab habe ich überhaupt so meine Zweifel am bestehenden Testmodus .
911,"Gut , über 300 haben es getrunken und 175 getestet : also sagt unsere Rangfolge lediglich etwas über das Verhältnis von Quantität zur Qualität aus ."
912,"Je mehr Tester das Bier testen , umso mehr steigt es in der Rangfolge nach oben ."
913,"Dieses Bier war mal ein richtiger Favorit von mir , es war wie auch das Augustiner Spezial recht schwer zu bekommen , damals vor 10 Jahren in einem Frankfurter Schluckspechtgeschäft ."
914,"Bis zu dem Zeitpunkt , dass es immer einfacher wurde , an andere wohlschmeckende Biere heranzukommen ."
915,"Nun bin ich gespannt , wie es mir nach all den Jahren schmeckt : Strohgelbes Aussehen , mit einer schnell verschwindenden Schaumkrone , die jedoch noch Substanz am Glasrand zeigt !"
916,Schon der getreidige Duft hat Wiedererkennungswert .
917,"Im Antrunk gerstenmalzig , im Wechsel zu einem feinherben Hopfengeschmack ."
918,"Auch zur Mitte dominiert dieser Charakter , unglaublich ausgewogen ."
919,"Dieses Bier ist wohl tatsächlich eines der besten Industriebiere , da kann ich nicht makeln ."
920,"Vielleicht ist es das , was es bei der Vielfalt an guten Bieren für mich langweilig gemacht hat ."
921,"Und es fehlen einfach die ganz großen Höhepunkte , um bei mir einen "" Orga "" auszulösen ."
922,"Aber ich muss fair bleiben , es schon zu Recht auf Platz 2 !"
923,"Abzüge bekommt es , weil es für mich persönlich recht kohlesäurereich ist und ich das nicht mehr so gut vertrage und ich den Inhaltsstoffen nicht ganz vertraue ( Stichwort : Glyphosat ) ."
924,"Standardbier , das man getrunken haben muss bzw. sollte ."
925,"Wenig Schaum , Geschmack nach Hopfen und Hefe ."
926,Ein Helles der besseren Sorte .
927,Augustiner habe ich früher viel getrunken als ich noch oft in Bayern gearbeitet habe .
928,"Mittlerweile bekommt man es ja fast Bundesweit , aber es schmeckt noch genau so gut wie früher ."
929,Dieses helle Lagerbier ist eine durchaus runde Sache .
930,Gut so .
931,Geht so
932,gut
933,Schmeckt rundherum gut .
934,"Sehr süffig , Gutes Bier ."
935,Für mich eines der besten Biere
936,Eines der besten Biere die es gibt .
937,Wundervoll würzig .
938,"Schöne Farbe , lange Blume ."
939,Augustiner geht immer .
940,"solides Helles , hopfig , aber auch nicht unbedingt jedermann´s Sache ."
941,"In München bei der Jugend angesagt ( ob´s schmeckt , oder nicht ... )"
942,"Braune 0,5 l Euro-Flasche als Gebinde ."
943,"Etikett mit Mönch . 5,2 % Alkohol ."
944,Gerstenmalz und Hopfen bei den Zutaten .
945,Schöne helle Schaumkrone .
946,Klare hellere goldgelbe Farbe .
947,Malzigsüßer und getreidiger Geruch .
948,Milder und malzigsüßer Antrunk .
949,Würzig und getreidige Noten im Mittelteil .
950,Der Abgang ist leicht hopfigherb .
951,"Der Nachgeschmack ist zuerst malzigsüß , dann würzig und mit getreidigen Noten und zum Ende hin leicht hopfigherb , leicht bitter und leicht säuerlich ."
952,Lässt sich sehr süffig trinken .
953,"Insgesamt ein sehr süffiges , malzigsüßes , getreidiges und würziges Helles aus München ."
954,Das Augustiner Lagerbier Hell .
955,Eine Klassiker-Verkostungsnotiz .
956,Augustiner ist ja in Nordbayern bei den eingefleischten Biertrinkern und Markenhütern eher unbeliebt .
957,"Hat doch die Großbrauerei in den 90er Jahren die Tucher aufgekauft , recht schnell an Brau & Brunnen weiterverkauft und die Brauerei-Grundstücke anderweitig verwertet . ( es war allerdings die März-Gruppe , die bereits vorher Tucher ruiniert hat ) ."
958,Zum Bier selbst .
959,Eine der ältesten bayerischen Brauereien überhaupt .
960,"Klar , dass die wissen , wie es geht ( also das mit dem Geschäft , aber auch mit dem Bierbrauen ) ."
961,"Das Bier kommt klar filtriert ins Glas , eine ordentliche Krone baut sich auf , das ist schon mal ordentlich ."
962,"Getreidig im Antrunk , ein malzig-süsser Körper mit einem schwächlichen Hopfen-Abgang ."
963,"Gut , aber auch nicht sehr gut ."
964,"7 Öffner , ein Öffner Abzug für den ruppigen Umgang mit den Nordbayern ."
965,Im Münchner Raum eine Institution .
966,"Geschmacklich aber nicht besser , als die meisten anderen Münchner Biere ."
967,Augustiner .
968,Der mittelporig bis großporige Schaum umhüllt das Helle üppig mit einer cremeweißen Farbe .
969,Das schwefelgelbe piwo schmückt ein leichter Alkoholgeruch .
970,Der Geschmack füllt sich dezent mit Süße bis zur Mitte des Geschmackskörpers .
971,Im Nachtrunk schmeckt der Kollege allerdings ausdauernd ( leicht ) seifig .
972,Die wenige Kohlensäure passt ins Gesamtbild des schlanken Körpers .
973,Gut zum Frühstück unter der Dusche .
974,Ein Helles in der bayrisch-typischen Euroflasche .
975,Optisch kleine CO2 -Bläschen in einem goldgelben Bier .
976,Scheint in Bayern und Umland ziemlich beliebt zu sein .
977,"Geruchlich kommt nicht viel dabei rum , ein bisschen maischig scheint es mir zu sein ."
978,"Der Antrunk ist gut frisch , der Körper ist gut aufgestellt , sehr süffig und süß wie man es von dort unten so kennt ."
979,"Ein bekömmlicher Standard , die riesige Verbreitung kann man aber nicht so ganz nachvollziehen , das geht auch besser ."
980,"Die Flasche lobenswerterweise im klassischen 0,5 l -Format , das Etikett mit dem alten Sack drauf nicht wirklich eine Augenweide ."
981,Notgedrungen schaut man also in statt auf die Flasche .
982,Auch hier setzt sich die Ambivalenz fort .
983,"Süßlich im Antrunk , in der Mitte würzig mit säuerlichen Aromen , im Abgang herb , Aroma bleibt bis zum nächsten Schluck ."
984,"Man kann dieses Bier Schritt für Schritt punktemäßig bewerten , jedoch ergibt sich daraus kein schlüssiges Gesamtbild ."
985,Was wollte uns der Braumeister damit sagen ?
986,Die Flaschengestaltung ( Euroflasche ) ist nicht gerade perfekt und ist vielleicht gerade darum sympathisch .
987,"Meine Münchener Freunde schwärmen alle von dieser Brauerei : eine der Kleinsten in der Bayernmetropole , nicht solche Fernsehbiere wie Paulaner und Löwenbräu ."
988,"Der erste Eindruck ist ein leichter , aber appetitlicher Duft , der sanft fruchtig und getreidig wirkt ."
989,Auch im Geschmack macht sich dieses Aroma bemerkbar und sorgt für ein sehr frisches und mildwürziges Bier .
990,"Die andere Seite ist , dass dieses Aroma bei dem Bier schnell verflogen ist , getreidig wr es immer noch , aber eben nicht mehr fruchtig , und im Abgang hat mir dann eine leicht säuerliche Note nicht sehr gefallen ."
991,"Ziemlich stark ist die Kohlensäure , vielleicht ein Grund , weshalb die Krone des ansonsten schön goldenen Biers nicht allzu beeindruckend war ."
992,Licht und Schatten also bei diesem Münchener Kultbier - auch scheint die Brauerei nicht immer das gleiche Bier zu brauen ... es schwankt zu sehr .
993,Leider für mich negative Überraschung ...
994,Ich habe ein paar Mal probiert und .... nichts besonders .
995,"Wässerig , leichtes Aroma , hell-gelbe Farbe , eine mittlere Menge Schaum , kann ich nur 5/10 geben ."
996,Alles klar .
997,Ich sage : überbewertet !
998,"Ja , ist kein schlechtes Gebräu , aber der Überflieger ist es nicht ."
999,"OK , die Neu-Berliner hebeln sich das rein als gäbe es keinen Morgen , aber so dolle ist es nicht ."
1000,"Das Etikett ist Lustig , die Neu-Berliner fahren da voll drauf ab , warum auch immer ."
1001,Ich finde es sehr altbacken .
1002,"Das eingiessen : ja , strohblond und eine dolle Krone , wieder die drei Lagen Perlen : unten fein und feinst , mittig die etwas gröberen Perlen und obenauf die großen bis echt großen Blasen ."
1003,"Die Schaumfarbe ist fast weis , das gefällt mich sehr ."
1004,"Ein Geruch oder ein bestimmes Geruchsaroma ist nur ganz leicht hinten zu erahnen , leicht hopflig-malzig , fast was von .... ich kann es nicht beschreiben , entschuldigung ."
1005,"Der Geschmack : jaaaaa , was soll ich da sagen ."
1006,"Ich sage mal : ein teures , süffiges , ballerbier ."
1007,Warum ?
1008,"Weil man sich locker davon 6 in den Kopf schieben kann ohne das der Geschmack darunter leidet , weil ein echtes Geschmack an sich kaum vorhanden ist ."
1009,"Es ist Leicht im Mund , der Alkohol ist nicht zu realisieren ."
1010,Die Perlung im Mund ist wirdlich angenehm und verursacht keine Rülpsattacken .
1011,Ich persönlich finde dies Bier doch überbewertet .
1012,Aber zum Feiern und als Schlüpferstürmer ideal .
1013,"Kastenwürdig , wenn auch an sich zu teuer ."
1014,"Beste Lager aller Zeiten ,"
1015,"Der Antrunk ist wässrig , der Durchgang ist ungewohnt ( nicht definierbar ) und der Nachgeschack ist säuerlich ."
1016,Überhaupt nicht mein Fall .
1017,"Dazu kommt das sauschlechte Preis / Leistungsverhältnis ( 0,95 € ) ."
1018,Nie wieder !
1019,"Test vom 12. 6. 2009 , Gebinde : Glasflasche"
1020,Am Air Berlin Terminal in Tegel kommt man am Augustiner nicht vorbei . immerhin gezapft vom Fass .
1021,"Aber welche Enttäuschung , da hätte ich bei der Traditionsmarke mehr erwartet ."
1022,Das Bier hat eine mässig brillante Farbe und sieht sehr schnell schal aus .
1023,"Der Duft ist frisch , erinnert allerdings mehr an einen schäbigen Softdrink ."
1024,"Der Antrunk ist frisch und spritzig mit viel Kohlensäure , aber dann dieser säuerliche Abgang , wie ein mieser Prosecco ."
1025,Nein das Zeug taugt nur als Durstlöscher wenn es sonst nichts anderes gibt .
1026,Hoffentlich hat der Flieger nach Stuttgart keine Verspätung
1027,Süffig ohne und Ende und klasse Etikett .
1028,Der Gesamteindruck überzeugt mich dennoch nicht ganz .
1029,Ist mir zu süß .
1030,Aber die ganzen Bartträger trinken es gerne hier .
1031,"Merke , was der Hipster toll findet , das meide ."
1032,"Als älteste Brauerei Münchens kann sich die Augustiner Brauerei dieses altbackene , in jeder Hinsicht geschmacklose Etikett vielleicht leisten ."
1033,Mich interessiert es nicht weiter .
1034,Hauptsache der Inhalt ist geschmackvoll .
1035,Im Glas macht es jedenfalls schon mal eine gute Figur .
1036,"Strohblond , blank mit einer schönen Blume perlt es munter vor sich hin ."
1037,"Ein malziger , kerniger , leicht süßlicher Duft entströmt dem Glas ."
1038,"Der Antrunk ist malzbetont und süßlich , aber schnell ist auch der Hopfen zu schmecken , der hier einen guten ausgleichenden Job macht , für meinen Geschmack aber noch etwas kräftiger sein könnte ."
1039,Die leichte Rezenz sorgt mit dem weichen Wasser für eine enorme Süffigkeit .
1040,"Für mich eins der besseren Hellen , wobei man auf die richtige Trinktemperatur achten sollte ."
1041,"Zu kalt darf es nicht sein , sonst wirkt es zu flach ."
1042,"Wenn man gerne Helles trinkt und in Berlin wohnt , kommt man am ubiquitären Augustiner Hell nicht vorbei ."
1043,"Das Erste ist immer klasse , aber das Bier wird schnell lasch und bekommt dann einen süßmalzigen Nachgeschmack , dass das zweite nicht mehr so gut runtergeht ."
1044,Leichter Kopfschmerzverdacht .
1045,Goldgelb und klar steht das Helle mit einer Weissen Blume im Glas .
1046,Im Geruch sehr getreidig .
1047,Im Geschmack ebenfalls sehr getreidig .
1048,Schön süffig .
1049,Lecker .
1050,Aus dem Fass frisch gezapft finde ich es aber am besten .
1051,"Nachdem ich sehr begeistert bin vom Augustiner Oktoberfestbier , habe ich heute mal das Lagerbier hell probiert ."
1052,Mein Eindruck war leider entäuschend .
1053,Vom Geschmack her eher leicht süßlich und irgendwie ein komischer Geschmack .
1054,Kurz gesagt : Nicht mein Bier !
1055,Ein leckeres Helles .
1056,"Trotz des komischen Labels hat das Zeug einen ziemlichen "" In "" -Status - gibts bei uns in einigen "" Szeneläden "" und auch im angesagten Burgerladen ."
1057,"Hmm , soo besonders find ichs jetzt nicht ."
1058,"Ist klar sehr süffig , mir schon fast zu süßlich und es könnte würziger sein ."
1059,"Viel Hopfen erwarte ich natürlich in einem Hellen nicht , aber einen kleinen Tacken mehr könnte es schon vertragen ."
1060,"Läuft gut , aber grad z. B. das Tegernseer gefällt mir weit weit besser ."
1061,"Ach ja , das ehemals hippe , inzwischen doch recht etablierte Augustiner soll es also heute sein ."
1062,Zum Bier an sich muss man eigentlich nicht viel sagen .
1063,Es dürfte jedem Bierliebhaber zwischen Flensburg und Konstanz aus dem Späti oder Supermarkt bekannt sein .
1064,"Das Etikett ist eher rustikal gehalten und gefällt durch die etwas missglückte Farbgestaltung ( grün , gold , blau und weiß auf brauner Flasche ) nicht wirklich ."
1065,"Die Flasche an sich gefällt mir durchaus , ich bin aber auch bekennender Euroflaschen-Liebhaber ."
1066,"Dann wollen wir mal sehen , was das Gebräu beim bewussten Verkosten so hergibt ."
1067,"Die Farbe des Bieres ist strohgelb , es sprudelt ordentlich und auch eine recht stabile Schaumkrone bildet sich heraus ."
1068,"Es riecht leicht fruchtig , aber in Summe recht unbestimmt ."
1069,Da kann man nicht viel zu sagen .
1070,Geschmacklich versteht es dann doch mich ein ums andere Mal zu überzeugen .
1071,"Vorne fruchtig , mäßig rezent , mit leicht herbem Abgang ."
1072,Das ist eine runde Sache und alles was ich mir von einem Hellen erhoffe .
1073,"Kein Fehlgeschmack , keine dominanten Malz- oder Hopfenaromen , in Summe recht leicht , aber durchaus lecker ."
1074,Das passt .
1075,Als erstes vermisse ich mal ein rückseitiges Etikett mit einer netten Beschreibung dieses Bieres .
1076,"Aber so san´s-die Bayern , und besonders die Münchner : Pech gehabt , wann´s des net kennst ..."
1077,"Na gut , lustig illustrierter Mönch auf uriger flasche , immerhin die Beschreibung "" Lager hell "" und Vollbier sowie 5,2 Umdrehungen sind beschrieben ."
1078,"Die Krone baut sich schön auf und hält sich eine Weile , daraus entsteigende vielversprechende Malznoten , machen richtig Bock auf den ersten Schluck ."
1079,"Auf der Zunge dann viel Malz , recht spritzig und angenehm in diesen heißen Tagen ."
1080,Doch der Abgang ?
1081,Warum so viel Säure ?
1082,Es fehlt mir auch an Körper .
1083,"Statt dessen nur Säure ... nicht mein Ding , da ich das Spalter helle Vollbier schon kenne , muss das so auch nicht sein ."
1084,"Könnte die Augustiner noch besser machen , da bin ich sicher !"
1085,"Ist doch schön , wenn ein Bier polarisiert ."
1086,Und das tut das Augustiner .
1087,"Meins ist es nicht , weil hinter dem Hype meiner Meinung nach ein einfaches und recht langweiliges Helles steht ."
1088,"Mut erfordert dieses Bier nur wegen seines wirklich "" kultigen "" Etiketts ."
1089,"Wenn man später seinen Kindern Bilder zeigt , wo man dieses Bier in der Hand hat , dürfte es den Effekt von Hornbrillen und langen / breiten Koteletten haben ."
1090,"Und es werden Sätze fallen , wie "" das trank man damals und schon damals war das sehr damals , äh , guck mal auf dem nächsten Bild ist ein süßes Kätzchen ! """
1091,Überbewertet und gar nicht mein Fall !
1092,Tegernseer ist um Längen besser ...
1093,Da wollte ich mir ein so oft und auch hoch bewertetes Bier nicht entgehen lassen und habe mir mal 2 Flaschen gegönnt .
1094,Das Bier hat eine sehr helle Farbe mit wenig kompakten Schaum der schnell zerfällt .
1095,Der Geruch ist schwach und unauffällig .
1096,Der malzige Antrunk ist leicht süßlich .
1097,Später etwas fruchtig und wässrig .
1098,Im kurzen Abgang noch leicht hopfig .
1099,Da hätte ich mir mehr von versprochen .
1100,Bin etwas verwundert über die vielen Top Bewertungen .
1101,Es ist für mich viel zu lasch und kommt wie eine zu schwach gesalzene Suppe daher .
1102,Auffallend : Die leichte Süße ist eher unangnehm und hält sich tapfer bis in den Nachtrunk .
1103,Da hat mir als Nichtmünchner das Hofbräu Original wesentlich besser geschmeckt .
1104,Bei Gelegenheit werde ich aber auch noch andere Augustiner Produkte verkosten .
1105,Vielleicht passt es dann eher .
1106,Das Bier ist in meinem Glas äußerst schwachkronig .
1107,Sehr hell .
1108,"Es schmeckt im Antrunk leicht hopfig , danach relativ schwerfällig süß ."
1109,Durch die Süße stopft es auch ziemlich .
1110,"Ich persönlich finde ja , dass das Bier zu hoch gejubelt wird ."
1111,Es schmeckt einfach ungewöhnlich süß und dadurch enorm süffig .
1112,Auch das Etikett überzeugt nur bedingt .
1113,"Normale Flasche , nettes Etikett ."
1114,"Im Glas hellgelb , minimale Perlung und top feinporige Schaumkrone ."
1115,Es duftet malzig-getreidig ( und vielversprechend ) .
1116,Und ja : So schmeckt es auch .
1117,Ein absolut vollmundiger Geschmack .
1118,"Mild , würzig , frisch , sehr angenehm ."
1119,Das kommt definitiv auf meine Merkliste .
1120,Ein Klassiker .
1121,Immer wieder lecker .
1122,"Das Augustiner gibts ja hier in München zu genüge , und wie ich sehe gibt es auch ein haufen Bewertungen schon , deshalb werde ich mich kurz halten Das Bier ist ordentlich und schmeckt ;-) 8/10"
1123,"Naja , um die "" Begeisterung "" für dieses Bier nachvollziehen zu können , muß man wohl Münchner oder zu mindest ziemlich bayo-phil "" angehaucht "" sein ... ???!"
1124,"Ich bin beides nicht und bewerte das Augustiner als "" Außenstehender "" also ganz nüchtern : Die 80er Jahre € uroflasche hat schon mal das absolut hässlichste Etikett , was ich jeh gesehen habe ."
1125,In der Konstellation mit der unscharf geprägten blau-grün-goldenen ( fast ) Neon-Coloration erschien mir der abgebildete Mönch ( ... der es wohl sein soll ) auf den ersten Blick eher als Seeräuber ...
1126,Das längere betrachten dieses unästhetischen Etiketts verursacht mit hoher Wahrscheinlichkeit Augenkrebs .
1127,"Viel Farbe , wenig Information ..."
1128,Beim Eingießen schäumt es gemischtporig mit einigen großen Blubberblasen ... ist aber alles schnell wieder weg .
1129,"Ich hatte großen Durst , also hätte der Schaum gar nicht lange durchhalten müssen ..."
1130,"Geruch konnte ich "" mit leicht verstopfter Nase "" keinen auffallenden feststellen ."
1131,Das Bier schmeckt von Antrunk bis Abgang gleichbleibend nach getreidehaltigem Gemüsesaft ohne jegliche Bitter- oder ( von mir aus auch anderweitiger ) Aromawürze .
1132,"Ich kann in keiner Weise nachvollziehen , was ein Großteil der Bierbasis-User dazu veranlaßt , diese Bier als "" das Beste überhaupt "" zu voten , außer das dieses Bier halt hell ist und aus Bayern kommt und dieser große Teil der User wohl auch ... also ich meine aus Bayern kommen ."
1133,"Mein "" Ding "" ist es definitiv nicht !"
1134,"Vorab : Ein Gustl war , wie wahrscheinlich bei den meisten Münchnern , das erste Bier was ich jemals getrunken habe und wird wahrscheinlich auch das letzte sein , was ich mir in ferner Zukunft auf meinem Sterbebett genüsslich zu gemüte führen werde ."
1135,Es hat meinen Biergeschmack maßgeblich geprägt und ich trinke es immer wieder gerne .
1136,"Ich kenne keinen Münchner , der es nicht trinkt ."
1137,"Zum Bier : Hervorragendes , erfrischendes Helles mit relativ viel Kohlensäure , Label mit Kultstatus ."
1138,Immer wieder mal ganz nett . auf Dauer mir zu viel Kohlensäure
1139,Unter den etablierten Bieren ( ich meide bewusst das Wort Massenbier ) ist dieses sicherlich eines meiner Liebsten .
1140,Herrlich erfrischend mit lang anhaltendem Nachgeschmack .
1141,Leider hatte ich noch nicht das Vergnügen dieses herausragende Helle aus dem Fass zu verkosten .
1142,Hipster-Bier aus München .
1143,"In Bayern lange Zeit eher ein Underdog und vor allem bei Einheimischen beliebt , in Norddeutschland jedoch auch in vielen Getränkemärkten und „ Szene “ -Lokalen zu finden ."
1144,"Klassische Euroflasche mit rustikalem , aber nicht altbackenem Design . 5,2 Umdrehungen und kein Hopfenextrakt ."
1145,"Der Schaum ist etwas blasig und leider nicht sehr beständig , sieht sehr hell aus und riecht frisch und getreidig ."
