Sat Jan 09 14:14:54 +0000 2016,Lecker aus der Heimat! #hohenfelder #bock #craft #stachel #bier #beer #langenberg @HOLY CRAFT… https://www.instagram.com/p/BAUj6kHkpA3/
Fri Jan 08 22:57:04 +0000 2016,"Anders als #LegendMovie enttäuscht ein kühles Bier nie. (@Enchilada in Nürnberg, Bayern) https://www.swarmapp.com/c/l9VUQznRKs4"
Fri Jan 08 17:34:06 +0000 2016,"Ich kaufe nun Bier! Bis Montag #Fump (@EDEKA Frischemarkt Kasper - @edeka_d in Hannover, Niedersachsen) https://www.swarmapp.com/c/8SUIbPqlJ6M"
Fri Jan 08 16:08:07 +0000 2016,"Coworking Bier (@Bonn @CoworkingBn in Bonn, Nordrhein-Westfalen) https://www.swarmapp.com/c/dlY7Bjq6yN0"
Wed Jan 06 12:24:09 +0000 2016,Kleine #craftbeer Verkostung im #87 in #stuttgart. #brunch #beer #bier #ayinger #bergbrauerei… https://www.instagram.com/p/BAMo2wRDhb4/
Tue Jan 05 15:38:18 +0000 2016,Das heutige #glckfpls-Podcast Episoden-Bier #mbjc16 @Glaspalast Sindelfingen https://www.instagram.com/p/BAKaRpAA3VF/
Mon Jan 04 20:17:30 +0000 2016,@heinmax50 Und wieviel Bier stehen drauf? 
Sun Jan 03 19:01:23 +0000 2016,"Bier. Fleisch. Mmmm mmmmmmmmm (@Brauhaus Päffgen in Köln, Nordrhein-Westfalen) https://www.swarmapp.com/c/hV9t8oDAkdP"
Sun Jan 03 17:13:06 +0000 2016,Bier (@Röhnberg Eck) https://www.swarmapp.com/c/jtgidAzS19p
Sun Jan 03 17:09:06 +0000 2016,"War heute schon #superproduktiv: #Fersenhebel d #Telemark Skibindung repariert, #Keller ausgemistet &amp; neuen #Router studiert. Jetzt #Bier!"
Sun Jan 03 07:33:40 +0000 2016,Lauf ich eben noch ein bisschen rum und statte um 10 dem #Naïv einen Besuch ab. Da gibts immerhin gutes (so hoffe ich) Bier. #Frühschoppen
Sat Jan 02 22:24:15 +0000 2016,"schauen, ob #Bier auch 2016 schmeckt ;) (@Dax Bierbörse in Hildesheim, Niedersachsen) https://www.swarmapp.com/c/ifWFqn6Bmly"
Sat Jan 02 21:59:39 +0000 2016,Die verkaufen hier auch dieses Bier. (@Eisen in Bremen w/ @garpswelt) https://www.swarmapp.com/c/cKxNj687I8g
Sat Jan 02 19:44:53 +0000 2016,Heute mal Bier. (@Mono in Bremen w/ @ingozen) https://www.swarmapp.com/c/8j66tpo777W
Fri Jan 01 22:38:35 +0000 2016,"Erster Tag in 2016 bestand nur aus Kaffee, Bier und Filme schauen. Alles wie immer an einem freien Tag."
Fri Jan 01 16:38:18 +0000 2016,Altenmünster Brauer Bier #beer @Hotel Excelsior Frankfurt https://www.instagram.com/p/BAAN91GyOMQ/
Fri Jan 01 01:08:34 +0000 2016,Bier wie Wasser. Sich erstmal unbeliebt machen: &lt;3
Fri Jan 01 00:57:08 +0000 2016,Ich glaube eine Frau bringt mir jetzt Bier. Vielleicht ist 2016 doch nicht so Scheisse :)
